Comment,Designator,Footprint,LCSC
"4.7n","C101","Capacitor_SMD:C_0402_1005Metric","C1538"
"1n","C102,C103","Capacitor_SMD:C_0402_1005Metric","C1523"
"470n","C112","Capacitor_SMD:C_0402_1005Metric","C47339"
"10u","C115,C116","Capacitor_SMD:C_0402_1005Metric","C15525"
"0.1u","C104,C105,C106,C107,C108,C109,C110,C111,C113,C114,C117","Capacitor_SMD:C_0402_1005Metric","C1525"
"LED","D101,D102","LED_THT:LED_D5.0mm",""
"AudioJack2","J101,J102,J103,J104,J106","A-2563:A-2563",""
"Conn_02x05_Odd_Even","J105","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"NST45010MW6T1G","Q102","Package_TO_SOT_SMD:SOT-363_SC-70-6_Handsoldering",""
"2N3906","Q101,Q103","Package_TO_SOT_THT:TO-92_Inline",""
"2N5457","Q104","Package_TO_SOT_THT:TO-92_Inline",""
"100k","R101,R102,R103,R104,R105,R106,R107,R124,R125,R126","Resistor_SMD:R_0402_1005Metric","C25741"
"1.5k","R108","Resistor_SMD:R_0402_1005Metric","C25867"
"470k","R110","Resistor_SMD:R_0402_1005Metric","C25792"
"4.7k","R109,R111,R117","Resistor_SMD:R_0402_1005Metric","C25900"
"220","R112,R113,R119,R120","Resistor_SMD:R_0402_1005Metric","C25091"
"10k","R114,R115,R116,R118,R122,R123","Resistor_SMD:R_0402_1005Metric","C25744"
"47k","R121,R129","Resistor_SMD:R_0402_1005Metric","C25792"
"1Meg","R127,R128","Resistor_SMD:R_0402_1005Metric","C26083"
"1k","R130","Resistor_SMD:R_0402_1005Metric","C11702"
"100k","RV101,RV102,RV103,RV105","A-5513:A-5513",""
"1k","RV104","Potentiometer_THT:Potentiometer_Bourns_3296X_Horizontal",""
"TL072","U101,U102,U105","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C6961"
"LM13700","U103","Package_DIP:DIP-16_W7.62mm",""
"NE5532","U104","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C7426"